QB,Mike Glennon,5000,0,TB,#DIV/0!
QB,Ryan Nassib,5000,0,NYG,#DIV/0!
QB,Ryan Griffin,5000,0,TB,#DIV/0!
QB,Matt McGloin,5000,11.68,Oak,428.0821918
QB,Matt Barkley,5000,0,Ari,#DIV/0!
QB,Zach Mettenberger,5000,4.185,Ten,1194.74313
QB,Aaron Murray,5000,0,KC,#DIV/0!
QB,Brock Osweiler,5000,0,Den,#DIV/0!
QB,Bryce Petty,5000,0,NYJ,#DIV/0!
QB,AJ McCarron,5000,-0.2,Cin,-25000
QB,Geno Smith,5000,21,NYJ,238.0952381
QB,Garrett Grayson,5000,0,NO,#DIV/0!
QB,Trevor Siemian,5000,0,Den,#DIV/0!
QB,Jimmy Garoppolo,5000,-0.125,NE,-40000
QB,Sean Mannion,5000,0,StL,#DIV/0!
QB,Brett Hundley,5000,0,GB,#DIV/0!
QB,Johnny Manziel,5000,8.548,Cle,584.9321479
QB,Taylor Heinicke,5000,0,Min,#DIV/0!
WR,Sammy Watkins,5000,14.3,Buf,349.6503497
QB,Jameis Winston,5000,17.423,TB,286.9769844
RB,James Starks,4900,11.138,GB,439.9353564
RB,Darren McFadden,4900,12.725,Dal,385.0687623
TE,Jimmy Graham,4900,12.25,Sea,400
RB,LeGarrette Blount,4900,12.771,NE,383.681779
WR,Willie Snead,4900,13.733,NO,356.8047768
TE,Gary Barnidge,4800,16.356,Cle,293.4702861
WR,Pierre Garcon,4800,12.625,Was,380.1980198
TE,Travis Kelce,4800,14.475,KC,331.6062176
WR,Tavon Austin,4800,14.963,StL,320.7912852
RB,Jeremy Langford,4800,6.288,Chi,763.3587786
RB,T.J. Yeldon,4800,13.7,Jax,350.3649635
RB,Charcandrick West,4800,7.213,KC,665.4651324
TE,Delanie Walker,4700,15.371,Ten,305.770607
WR,Vincent Jackson,4700,11.65,TB,403.4334764
TE,Martellus Bennett,4700,12.638,Chi,371.8942871
WR,Kendall Wright,4700,12.2,Ten,385.2459016
RB,Giovani Bernard,4700,12.825,Cin,366.4717349
WR,Rishard Matthews,4700,15.3,Mia,307.1895425
RB,Chris Johnson,4600,13.275,Ari,346.5160075
WR,Golden Tate,4600,10.513,Det,437.5535052
TE,Jordan Reed,4600,16.3,Was,282.208589
WR,Kamar Aiken,4500,8.663,Bal,519.4505368
WR,Nate Washington,4400,15.183,Hou,289.7978002
TE,Benjamin Watson,4300,13.244,NO,324.6753247
RB,Jonathan Stewart,4300,11.05,Car,389.1402715
RB,Shane Vereen,4300,11.144,NYG,385.8578607
WR,Marvin Jones,4300,11.4,Cin,377.1929825
WR,Davante Adams,4200,7.66,GB,548.3028721
WR,Breshad Perriman,4200,0,Bal,#DIV/0!
WR,Brandon LaFell,4100,10.467,NE,391.7072705
TE,Charles Clay,4100,10.7,Buf,383.1775701
WR,Victor Cruz,4000,0,NYG,#DIV/0!
WR,Danny Amendola,4000,9.813,NE,407.6225415
RB,Ronnie Hillman,4000,9.575,Den,417.7545692
RB,Alfred Blue,4000,6.225,Hou,642.5702811
RB,Duke Johnson Jr.,4000,11.311,Cle,353.6380515
DST,Cardinals ,3900,10.125,Ari,385.1851852
WR,Rueben Randle,3900,11.044,NYG,353.1329229
RB,Rashad Jennings,3800,8.956,NYG,424.296561
WR,Michael Floyd,3800,9.113,Ari,416.9867223
WR,Terrance Williams,3800,8.625,Dal,440.5797101
WR,Marquess Wilson,3800,7.088,Chi,536.1173815
RB,Karlos Williams,3800,17.04,Buf,223.0046948
RB,C.J. Anderson,3800,8.3,Den,457.8313253
WR,Percy Harvin,3700,9.98,Buf,370.741483
WR,Mike Wallace,3700,7.825,Min,472.8434505
RB,Andre Ellington,3700,8.24,Ari,449.0291262
TE,Julius Thomas,3700,7.65,Jax,483.6601307
RB,Antonio Andrews,3700,10,Ten,370
DST,Rams ,3600,11,StL,327.2727273
RB,Darren Sproles,3600,8.35,Phi,431.1377246
WR,Dwayne Harris,3600,7.367,NYG,488.6656712
WR,Kenny Britt,3600,6.888,StL,522.6480836
WR,Marlon Brown,3600,2.95,Bal,1220.338983
WR,Robert Woods,3600,8.313,Buf,433.0566582
DST,Seahawks ,3500,11.125,Sea,314.6067416
RB,Marcel Reece,3500,7.638,Oak,458.2351401
RB,Taiwan Jones,3500,4.683,Oak,747.3841555
RB,Ryan Mathews,3500,11.7,Phi,299.1452991
RB,Charles Sims,3500,10.275,TB,340.6326034
