Rk ▴,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,MP,next-page-from-root,next-page-from-root-href,col,next-page-from-next-page,next-page-from-next-page-href
"null","Ricky Rubio","2015-16","25","MIN","NBA","6","6","30.8","4.0","10.2","3.7","8.5","0.3","1.7","4.7","5.2","0.3","4.0","4.3","9.0","2.3","0.0","2.0","2.7","13.0",".393",".431",".200",".410",".903",".523","30.8","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Jimmy Butler","2015-16","26","CHI","NBA","8","8","35.4","6.0","13.9","4.4","10.0","1.6","3.9","4.9","6.1","0.5","4.9","5.4","2.9","2.0","0.9","1.3","2.0","18.5",".432",".438",".419",".491",".796",".558","35.4","","","","",""
"null","Jeremy Lamb","2015-16","23","CHO","NBA","5","0","21.2","5.2","9.6","3.6","5.8","1.6","3.8","0.0","0.6","0.8","2.8","3.6","1.2","0.4","0.8","0.8","1.0","12.0",".542",".621",".421",".625",".000",".608","21.2","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Tayshaun Prince","2015-16","35","MIN","NBA","6","6","23.3","1.3","3.7","1.3","3.2","0.0","0.5","0.7","1.2","0.5","1.7","2.2","0.5","0.7","0.2","0.5","0.8","3.3",".364",".421",".000",".364",".571",".399","23.3","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Trey Burke","2015-16","23","UTA","NBA","6","0","23.0","5.0","10.7","3.3","7.3","1.7","3.3","1.3","1.3","0.3","2.0","2.3","2.0","1.0","0.0","1.8","1.8","13.0",".469",".455",".500",".547","1.000",".578","23.0","","","","",""
"null","DeMarre Carroll","2015-16","29","TOR","NBA","6","6","35.7","4.3","12.7","2.8","8.2","1.5","4.5","2.2","3.2","1.7","3.2","4.8","1.7","1.3","0.2","1.8","2.3","12.3",".342",".347",".333",".401",".684",".439","35.7","","","","",""
"null","Zach Randolph","2015-16","34","MEM","NBA","8","8","31.0","6.3","12.5","6.3","12.4","0.0","0.1","1.8","2.3","2.4","6.5","8.9","1.6","0.8","0.0","2.0","2.0","14.3",".500",".505",".000",".500",".778",".528","31.0","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Doug McDermott","2015-16","24","CHI","NBA","8","3","21.4","4.1","7.8","1.8","3.6","2.4","4.1","0.5","0.6","0.4","1.8","2.1","0.8","0.1","0.0","0.8","1.8","11.1",".532",".483",".576",".685",".800",".693","21.4","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Meyers Leonard","2015-16","23","POR","NBA","8","8","26.6","3.4","8.0","2.5","4.3","0.9","3.8","1.0","1.1","0.6","3.8","4.4","1.6","0.3","0.6","1.0","3.4","8.6",".422",".588",".233",".477",".889",".508","26.6","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Brook Lopez","2015-16","27","BRK","NBA","7","7","33.1","7.7","14.4","7.7","14.1","0.0","0.3","5.0","6.0","2.4","5.3","7.7","1.7","0.0","1.7","2.4","2.7","20.4",".535",".545",".000",".535",".833",".598","33.1","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Thaddeus Young","2015-16","27","BRK","NBA","7","7","31.0","6.3","12.6","6.1","11.9","0.1","0.7","0.3","0.9","3.1","4.7","7.9","1.7","1.0","0.6","2.0","2.7","13.0",".500",".518",".200",".506",".333",".502","31.0","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=200"
"null","Derrick Rose","2015-16","27","CHI","NBA","8","8","32.0","5.3","14.3","5.1","12.3","0.1","2.0","2.3","2.9","0.4","3.0","3.4","5.8","0.4","0.1","2.9","1.0","12.9",".368",".418",".063",".373",".783",".415","32.0","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Nerlens Noel","2015-16","21","PHI","NBA","6","6","32.3","5.3","12.7","5.3","12.7","0.0","0.0","1.5","2.5","3.2","6.5","9.7","1.5","1.7","1.8","3.2","3.0","12.2",".421",".421","",".421",".600",".442","32.3","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Carmelo Anthony","2015-16","31","NYK","NBA","7","7","34.0","7.0","18.9","5.4","14.0","1.6","4.9","5.9","6.4","1.3","6.0","7.3","3.7","0.9","0.6","2.0","3.4","21.4",".371",".388",".324",".413",".911",".494","34.0","","","","",""
"null","Dion Waiters","2015-16","24","OKC","NBA","7","0","26.0","3.1","7.1","2.3","5.1","0.9","2.0","1.4","1.9","0.9","3.0","3.9","1.9","1.0","0.3","1.3","2.6","8.6",".440",".444",".429",".500",".769",".538","26.0","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Rudy Gay","2015-16","29","SAC","NBA","8","8","31.0","6.8","17.0","5.8","14.0","1.0","3.0","1.8","2.4","2.0","4.4","6.4","2.6","1.1","0.3","2.0","3.1","16.3",".397",".411",".333",".426",".737",".450","31.0","","","","",""
"null","Jrue Holiday","2015-16","25","NOP","NBA","4","4","23.5","4.5","12.0","3.3","8.8","1.3","3.3","2.8","3.5","0.0","1.5","1.5","5.3","0.8","0.3","4.0","1.5","13.0",".375",".371",".385",".427",".786",".480","23.5","","","","",""
"null","Kyle Korver","2015-16","34","ATL","NBA","7","7","31.1","4.1","8.0","2.6","4.0","1.6","4.0","0.3","0.3","0.0","3.6","3.6","2.9","0.9","0.1","0.9","2.6","10.1",".518",".643",".393",".616","1.000",".624","31.1","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Kentavious Caldwell-Pope","2015-16","22","DET","NBA","7","7","38.0","5.4","12.4","4.0","7.9","1.4","4.6","2.6","2.7","0.6","3.3","3.9","1.6","1.6","0.3","1.4","2.0","14.9",".437",".509",".313",".494",".947",".545","38.0","","","","",""
"null","Greg Monroe","2015-16","25","MIL","NBA","7","7","33.0","7.1","13.4","7.1","13.4","0.0","0.0","3.9","4.7","3.0","5.7","8.7","3.1","1.6","1.1","1.9","2.7","18.1",".532",".532","",".532",".818",".585","33.0","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","C.J. McCollum","2015-16","24","POR","NBA","8","8","34.5","8.1","17.5","5.6","11.5","2.5","6.0","2.1","2.5","0.8","3.4","4.1","3.1","0.8","0.1","2.0","2.8","20.9",".464",".489",".417",".536",".850",".561","34.5","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Markieff Morris","2015-16","26","PHO","NBA","7","7","27.7","5.7","15.9","4.9","12.6","0.9","3.3","1.9","2.6","1.6","3.9","5.4","1.4","0.7","0.6","2.0","3.3","14.1",".360",".386",".261",".387",".722",".416","27.7","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Jarrett Jack","2015-16","32","BRK","NBA","6","6","31.8","5.2","13.8","4.3","11.0","0.8","2.8","1.5","1.8","0.5","4.3","4.8","6.5","0.3","0.2","3.0","2.7","12.7",".373",".394",".294",".404",".818",".433","31.8","","","","",""
"null","Rodney Stuckey","2015-16","29","IND","NBA","7","0","22.0","4.1","9.0","4.0","8.0","0.1","1.0","1.7","2.0","0.3","2.9","3.1","2.1","0.9","0.3","1.3","1.3","10.1",".460",".500",".143",".468",".857",".513","22.0","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Lance Stephenson","2015-16","25","LAC","NBA","7","7","21.1","2.0","5.3","1.1","3.4","0.9","1.9","0.7","1.0","0.6","2.7","3.3","2.4","0.4","0.0","1.4","2.0","5.6",".378",".333",".462",".459",".714",".487","21.1","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Jared Sullinger","2015-16","23","BOS","NBA","5","2","21.6","5.0","9.2","3.8","6.6","1.2","2.6","0.4","0.6","2.6","4.8","7.4","2.0","1.2","1.2","1.2","3.4","11.6",".543",".576",".462",".609",".667",".613","21.6","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Lou Williams","2015-16","29","LAL","NBA","6","0","26.7","3.7","11.2","2.7","5.5","1.0","5.7","5.8","6.5","0.3","2.3","2.7","2.8","1.2","0.3","1.2","2.3","14.2",".328",".485",".176",".373",".897",".505","26.7","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=200"
