PLAYER,OPP,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,AVG,rb-link,rb-link-href,wr-link,wr-link-href,te-link,te-link-href,dst-link,dst-link-href
"Cardinals vs. WR","@Sea","0/0","1134","10","0","6","1134","10","89","1134","10","165","19.8","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","","","",""
"Buccaneers vs. RB","Dal","0/0","233","3","0","204","233","3","36","233","3","45","14.9","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","","","","","",""
"49ers vs. TE","** BYE **","0","3","59","","0","3","59","409","3","59","","","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","",""
"Bills vs. D/ST","@NYJ","0/0","0","0","0","0","0","0","0","0","0","0","6.1","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","D/ST","http://games.espn.go.com/ffl/pointsagainst?positionId=16"
"Vikings vs. QB","@Oak","172/275","0","0","4","19","0","0","0","0","0","0","13.9","","","","","","","",""
"Cardinals vs. TE","@Sea","0/0","308","1","0","0","308","1","38","308","1","61","4.1","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","",""
"Jets vs. RB","Buf","0/0","293","2","0","141","293","2","35","293","2","49","10.6","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","","","","","",""
"Ravens vs. D/ST","Jax","0/0","0","0","0","0","0","0","0","0","0","0","4.4","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","D/ST","http://games.espn.go.com/ffl/pointsagainst?positionId=16"
"Patriots vs. TE","@NYG","0/0","305","3","0","0","305","3","35","305","3","63","5.1","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","",""
"Panthers vs. D/ST","@Ten","0/0","0","0","0","0","0","0","0","0","0","0","4.3","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","D/ST","http://games.espn.go.com/ffl/pointsagainst?positionId=16"
"Packers vs. TE","Det","0/0","546","3","0","0","546","3","44","546","3","75","8.5","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","",""
"Ravens vs. WR","Jax","0/0","1663","14","0","1","1663","14","117","1663","14","181","29.9","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","","","",""
"Jets vs. TE","Buf","0/0","381","2","0","0","381","2","38","381","2","61","5.3","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","",""
"Colts vs. WR","** BYE **","0","11","204","","45","11","204","1634","11","204","","","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","","","",""
"Cardinals vs. D/ST","@Sea","0/0","0","0","0","0","0","0","0","0","0","0","0.9","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","D/ST","http://games.espn.go.com/ffl/pointsagainst?positionId=16"
"Dolphins vs. RB","@Phi","0/0","244","3","0","213","244","3","26","244","3","42","21.0","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","","","","","",""
"Jaguars vs. RB","@Bal","0/0","439","3","0","187","439","3","50","439","3","60","19.1","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","","","","","",""
"Seahawks vs. WR","Ari","0/0","797","1","0","8","797","1","71","797","1","119","10.9","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","","","",""
"Lions vs. QB","@GB","183/250","12","0","4","33","12","0","1","12","0","1","19.1","","","","","","","",""
"Seahawks vs. TE","Ari","0/0","565","5","0","0","565","5","45","565","5","62","10.5","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","",""
"Eagles vs. WR","Mia","0/0","1589","11","0","1","1589","11","125","1589","11","200","26.6","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","","","",""
"Panthers vs. WR","@Ten","0/0","1226","5","0","0","1226","5","102","1226","5","199","17.4","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","","","",""
"Jets vs. D/ST","Buf","0/0","0","0","0","0","0","0","0","0","0","0","4.6","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","D/ST","http://games.espn.go.com/ffl/pointsagainst?positionId=16"
"49ers vs. D/ST","** BYE **","0","0","0","","0","0","0","0","0","0","","","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","D/ST","http://games.espn.go.com/ffl/pointsagainst?positionId=16"
"Browns vs. TE","@Pit","0/0","359","8","0","0","359","8","34","359","8","49","8.4","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","",""
"Bills vs. TE","@NYJ","0/0","355","3","0","0","355","3","39","355","3","67","6.0","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","",""
"Giants vs. TE","NE","0/0","701","5","0","0","701","5","59","701","5","84","10.2","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","",""
"Packers vs. WR","Det","0/0","1368","6","0","4","1368","6","86","1368","6","153","20.5","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","","","",""
"Jaguars vs. QB","@Bal","193/295","0","0","3","45","0","0","0","0","0","0","17.9","","","","","","","",""
"Falcons vs. QB","** BYE **","2322","0","0","","82","0","0","0","0","0","","","","","","","","","",""
"Jets vs. WR","Buf","0/1","1388","10","0","3","1388","10","105","1388","10","199","24.4","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","","","",""
"Patriots vs. QB","@NYG","194/313","0","0","9","22","0","0","0","0","0","0","16.0","","","","","","","",""
"Packers vs. RB","Det","0/0","248","1","0","177","248","1","34","248","1","50","16.5","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","","","","","",""
"Saints vs. D/ST","@Wsh","0/0","0","0","0","0","0","0","0","0","0","0","3.8","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","D/ST","http://games.espn.go.com/ffl/pointsagainst?positionId=16"
"Lions vs. RB","@GB","0/0","306","0","0","206","306","0","33","306","0","44","20.6","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","","","","","",""
"Chiefs vs. D/ST","@Den","0/0","0","0","0","0","0","0","0","0","0","0","6.1","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","D/ST","http://games.espn.go.com/ffl/pointsagainst?positionId=16"
"Buccaneers vs. QB","Dal","191/273","0","0","6","27","0","0","0","0","0","0","18.8","","","","","","","",""
"Dolphins vs. WR","@Phi","0/0","1430","10","0","10","1430","10","103","1430","10","163","24.1","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","","","",""
"Redskins vs. TE","NO","0/0","383","1","0","0","383","1","35","383","1","55","5.0","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","",""
"Bears vs. TE","@StL","0/0","299","2","0","1","299","2","31","299","2","46","4.8","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","",""
"Falcons vs. D/ST","** BYE **","0","0","0","","0","0","0","0","0","0","","","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","D/ST","http://games.espn.go.com/ffl/pointsagainst?positionId=16"
"Chiefs vs. TE","@Den","0/0","238","2","0","0","238","2","24","238","2","52","3.8","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","",""
"Panthers vs. RB","@Ten","0/0","440","2","0","178","440","2","56","440","2","80","17.8","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","","","","","",""
"Chargers vs. TE","** BYE **","0","7","59","","0","7","59","449","7","59","","","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","",""
"Texans vs. TE","@Cin","0/0","410","3","0","0","410","3","38","410","3","58","6.6","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","",""
"Chiefs vs. WR","@Den","0/0","1722","13","0","5","1722","13","122","1722","13","200","30.0","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","","","",""
"Titans vs. QB","Car","147/236","4","0","9","31","4","0","1","4","0","1","17.1","","","","","","","",""
"Lions vs. WR","@GB","0/0","1481","8","0","3","1481","8","110","1481","8","146","22.5","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","","","",""
"Ravens vs. RB","Jax","0/0","411","1","0","185","411","1","46","411","1","57","14.6","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","","","","","",""
"Seahawks vs. D/ST","Ari","0/0","0","0","0","0","0","0","0","0","0","0","8.5","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","D/ST","http://games.espn.go.com/ffl/pointsagainst?positionId=16"
"Dolphins vs. TE","@Phi","0/0","379","3","0","0","379","3","32","379","3","55","6.5","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","",""
"Buccaneers vs. WR","Dal","0/0","1445","12","0","3","1445","12","113","1445","12","163","25.3","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","","","",""
"Chiefs vs. RB","@Den","0/0","221","1","0","180","221","1","29","221","1","40","13.9","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","","","","","",""
"Buccaneers vs. D/ST","Dal","0/0","0","0","0","0","0","0","0","0","0","0","6.8","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","D/ST","http://games.espn.go.com/ffl/pointsagainst?positionId=16"
"Bills vs. WR","@NYJ","1/1","1368","10","0","17","1368","10","121","1368","10","206","23.4","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","","","",""
"Saints vs. QB","@Wsh","212/323","0","0","4","28","0","0","0","0","0","0","23.7","","","","","","","",""
"Cowboys vs. WR","@TB","0/0","1141","5","0","1","1141","5","87","1141","5","144","17.6","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","","","",""
"Texans vs. QB","@Cin","165/266","0","0","6","32","0","0","0","0","0","0","17.6","","","","","","","",""
"Cowboys vs. D/ST","@TB","0/0","0","0","0","0","0","0","0","0","0","0","8.1","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","D/ST","http://games.espn.go.com/ffl/pointsagainst?positionId=16"
"Bengals vs. RB","Hou","0/0","456","3","0","147","456","3","54","456","3","67","16.3","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","","","","","",""
"Texans vs. WR","@Cin","0/0","1208","10","0","5","1208","10","92","1208","10","157","21.3","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","","","",""
"Falcons vs. RB","** BYE **","0","1","80","","691","1","80","535","1","80","","","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","","","","","",""
"49ers vs. QB","** BYE **","2648","0","0","","73","0","0","0","0","0","","","","","","","","","",""
"Browns vs. QB","@Pit","183/302","0","0","5","22","0","0","0","0","0","0","18.0","","","","","","","",""
"Rams vs. QB","Chi","193/279","0","0","6","34","0","0","0","0","0","0","11.5","","","","","","","",""
"Giants vs. WR","NE","0/0","1685","9","0","5","1685","9","132","1685","9","206","23.1","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","","","",""
"Steelers vs. RB","Cle","0/0","388","0","0","193","388","0","44","388","0","59","11.4","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","","","","","",""
"Chargers vs. RB","** BYE **","0","3","60","","1041","3","60","520","3","60","","","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","","","","","",""
"Redskins vs. QB","NO","167/262","0","0","4","15","0","0","0","0","0","0","16.3","","","","","","","",""
"Bills vs. RB","@NYJ","0/0","416","2","0","147","416","2","33","416","2","44","17.3","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","","","","","",""
"Colts vs. TE","** BYE **","0","4","75","","0","4","75","622","4","75","","","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","",""
"Jaguars vs. WR","@Bal","0/0","1351","9","0","2","1351","9","112","1351","9","179","22.0","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","","","",""
"Raiders vs. WR","Min","0/0","1687","4","0","2","1687","4","134","1687","4","221","22.1","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","","","",""
"Dolphins vs. QB","@Phi","162/262","0","0","6","29","0","0","0","0","0","0","16.9","","","","","","","",""
"Steelers vs. TE","Cle","0/0","553","7","0","0","553","7","53","553","7","85","10.1","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","",""
"Eagles vs. RB","Mia","0/0","222","1","0","199","222","1","35","222","1","52","12.4","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","","","","","",""
"Broncos vs. D/ST","KC","0/0","0","0","0","0","0","0","0","0","0","0","6.8","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","D/ST","http://games.espn.go.com/ffl/pointsagainst?positionId=16"
"Titans vs. WR","Car","1/1","1278","9","0","3","1278","9","85","1278","9","142","23.0","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","","","",""
"Bengals vs. D/ST","Hou","0/0","0","0","0","0","0","0","0","0","0","0","3.3","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","D/ST","http://games.espn.go.com/ffl/pointsagainst?positionId=16"
"Cardinals vs. QB","@Sea","176/293","0","0","13","27","0","0","0","0","0","0","13.9","","","","","","","",""
"Falcons vs. WR","** BYE **","0","3","175","","27","3","175","1226","3","175","","","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","","","",""
"Vikings vs. D/ST","@Oak","0/0","0","0","0","0","0","0","0","0","0","0","5.8","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","D/ST","http://games.espn.go.com/ffl/pointsagainst?positionId=16"
