RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WAR,next-page,next-page-href,next-next-page,next-next-page-href
"358","Jameer Nelson, PG","BOS/DAL/DEN","63","22.3","-0.37","-2.49","-2.86","-0.45","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/9/sort/RPM"
"254","Gerald Wallace, SF","BOS","32","8.9","-0.86","-0.66","-1.52","0.15","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/7/sort/RPM"
"352","Jeremy Lamb, SG","OKC","47","13.5","-1.42","-1.40","-2.82","-0.18","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/9/sort/RPM"
"67","Marcus Smart, PG","BOS","67","27.0","1.17","1.05","2.22","5.21","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","",""
"471","Zach LaVine, PG","MIN","77","24.7","-2.53","-4.34","-6.87","-5.34","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/12/sort/RPM"
"460","JaKarr Sampson, SG","PHI","74","15.3","-3.09","-2.29","-5.38","-2.23","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/12/sort/RPM"
"467","Adreian Payne, PF","ATL/MIN","32","23.1","-3.14","-3.10","-6.24","-1.77","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/12/sort/RPM"
"283","Dante Exum, PG","UTAH","82","22.2","-1.64","-0.13","-1.77","0.62","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/8/sort/RPM"
"161","Elliot Williams, SG","NO/UTAH","13","9.2","0.53","-0.82","-0.29","0.05","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/5/sort/RPM"
"251","Ognjen Kuzmic, C","GS","16","4.5","-1.81","0.33","-1.48","0.04","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/7/sort/RPM"
"296","Terrence Ross, SF","TOR","82","25.5","1.76","-3.77","-2.01","0.43","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/8/sort/RPM"
"198","Wesley Johnson, SG","LAL","76","29.5","-0.20","-0.60","-0.80","2.12","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/5/sort/RPM"
"265","Devin Harris, PG","DAL","76","22.2","0.24","-1.84","-1.60","0.79","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/7/sort/RPM"
"","","","","","","","","","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","null","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/12/sort/RPM"
"61","Marcin Gortat, C","WSH","82","29.9","-0.10","2.56","2.46","7.28","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","",""
"300","Michael Beasley, SF","MIA","24","21.0","-3.13","0.99","-2.14","0.07","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/8/sort/RPM"
"303","John Jenkins, SG","ATL","24","12.4","-1.63","-0.54","-2.17","0.03","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/8/sort/RPM"
